favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
2,Twitter Web Client,Resposta ao Jornal O Globo sobre insinuação d q recebo recursos financeiros d empresas bélicas. http://t.co/Wjtv1hUV,,False,Mon Feb 18 13:35:53 +0000 2013,7,303498071214542849
1,Twitter Web Client,"Mesmo c/ ameaças à blogueira cubana, Chico Alencar (PSOL) nega proteção à Yoani Sánchez. Será pq? http://t.co/3Ct90mQu5s",,False,Thu Feb 21 16:47:52 +0000 2013,7,304633546763534338
2,Facebook,http://t.co/5FJRPY4Xb3 http://t.co/1iIexFVhL1,,False,Thu Mar 21 02:05:40 +0000 2013,3,314558396936384513
1,Twitter Web Client,Comissão d Direitos Humanos da Câmara poderá apreciar PEC d Bolsonaro sobre redução da Maioridade Penal. http://t.co/nzchsQsGjR,,False,Sat Apr 13 00:06:23 +0000 2013,11,322863299848982529
0,Facebook,"HOMOFOBIA OU OMISSÃO DE GASTOS COM DINHEIRO PÚBLICO?: Carlos Tufvesson, Coordenador da Diversidade Sexual da... http://t.co/jIajoRAjdt",,False,Thu Mar 28 12:21:14 +0000 2013,7,317250022221692928
66,Twitter Web Client,"Votamos favoráveis ao ""Projeto Ficha Limpa"". Quem não deve não teme.",,False,Wed May 12 18:44:54 +0000 2010,43,13865813934
7,Twitter Web Client,"ENTREGUE SUA ARMA, OS VAGABUNDOS AGRADECEM. http://t.co/SpO9MVZw",,False,Mon Jan 14 23:04:23 +0000 2013,36,290957563187572737
0,Facebook,http://t.co/OQ19Fa1Z9R,,False,Tue Apr 02 13:44:42 +0000 2013,1,319082968255696897
4,Twitter Web Client,"COMISSÃO DE DIREITOS HUMANOS: Tentaram impedir reunião, xingaram, ameaçaram, logo tiveram a resposta. http://t.co/ezgLtnnsl7",,False,Wed Mar 13 22:02:13 +0000 2013,40,311960414281940994
2,Twitter Web Client,PEC em prioridade de apreciação sobre redução da maioridade penal é d autoria do dep. fed. Bolsonaro. http://t.co/nzchsQsGjR,,False,Wed Apr 17 14:15:52 +0000 2013,12,324526630850686976
3,Twitter Web Client,"Da noite para o dia apareceram 50 mil presos pela ""ditadura"". C/ bolsas ($$$) pra lá e pra cá, o governo vai aumentando seu rebanho.",,False,Tue Feb 26 17:52:24 +0000 2013,28,306461726944137216
1,Twitter Web Client,Luana Piovani ofende gratuitamente o ver. Bolsonaro c/ frases s/ sentido. Imaginemos se fosse o contrário. http://t.co/H6F33rl8HF,,False,Thu Apr 04 22:13:19 +0000 2013,11,319935739909525506
0,Facebook,I posted a new photo to Facebook http://t.co/OCMRyp58p5,,False,Wed Apr 10 15:54:34 +0000 2013,0,322014755005018112
1,Twitter Web Client,DEUS SALVE NOSSAS CRIANÇAS. http://t.co/bxCE6eHb,,False,Thu Jun 14 20:02:17 +0000 2012,15,213360731314335744
16,Facebook,"Família Bolsonaro: ATRIZ E USUÁRIA DE DROGAS, LUANA PIOVANI OFENDE CARLOS BOLSONARO GRATUITAMENTE CO http://t.co/WRX9Ir6rbe",,False,Fri Apr 05 14:02:17 +0000 2013,55,320174556432175105
0,Facebook,Eu publiquei uma nova foto no Facebook http://t.co/EKwZh2Zxuu,,False,Wed Mar 20 18:52:36 +0000 2013,4,314449412405460992
1,Twitter Web Client,"Representante d minorias e twitteiro influente pregam + agressões e a morte d Bolsonaro, tb no dia d seu aniversário. http://t.co/YrJqYHxGPx",,False,Fri Mar 22 13:31:19 +0000 2013,8,315093333401821184
0,Facebook,http://t.co/oEE7GFPyDC,,False,Wed Apr 10 13:02:23 +0000 2013,2,321971422006235136
1,Twitter Web Client,"Eleger @VerBolsonaro, p/ vereador no Rio de Janeiro é de vital importância p/ a continuidade de meu trabalho em Brasília.",,False,Tue Jul 17 19:20:28 +0000 2012,9,225309008632881153
1,Twitter Web Client,"EM 3 MIN.: Ñ temos palavras p/ qualificar + esta covardia. Assista, indigne-se e tire suas conclusões. http://t.co/ChEjNDoCEd",,False,Fri Apr 12 01:49:09 +0000 2013,30,322526772010827777
4,Twitter Web Client,"Conheçam os feitos do meu filho, Carlos Bolsonaro, como vereador no Rio de Janeiro. Grato a todos. http://t.co/LdwH50vx",,False,Fri Jul 20 16:43:17 +0000 2012,3,226356614771392512
17,Twitter Web Client,"Sigam meus filhos, @flaviobolsonaro e @carlosbolsonaro, eles refletem meus pensamentos diariamente e dominam mto melhor o twitter. Selva!",,False,Mon Apr 26 11:55:08 +0000 2010,23,12878424628
7,Facebook,"PEDÓFILOS E PT QUEREM A SAÍDA DE FELICIANO 

http://t.co/QEEFrvPaeL http://t.co/OLjXXyQxap",,False,Wed Mar 27 22:05:35 +0000 2013,20,317034692278894592
0,Facebook,"PEC DAS DOMÉSTICAS -PORQUE EU VOTEI CONTRA

Não é preciso ter bola de cristal. Basta ter coerência no desempenho... http://t.co/viAdcWcQgO",,False,Fri Apr 05 12:17:26 +0000 2013,10,320148172016074752
1,Facebook,http://t.co/yvI9Kz64wk http://t.co/P6niwOQ3co,,False,Sun Apr 07 17:23:03 +0000 2013,3,320949858871681025
162,Twitter for iPhone,Algum PTista perdeu um saco de dinheiro no plenário da Câmara. http://t.co/1zzUBYm2dQ,,False,Thu Apr 25 12:14:12 +0000 2013,87,327395113263329281
2,Twitter Web Client,Dilma cometeu o mesmo crime que os terroristas de Boston. http://t.co/vEdojMIHHh,,False,Thu Apr 25 13:48:36 +0000 2013,31,327418869583073280
2,Twitter Web Client,@VerBolsonaro desmascara ex-BBB Jean Wyllys (PSOL-RJ) e Movimento LGBT. http://t.co/UcSFuzNz16,CarlosBolsonaro,False,Mon Apr 08 20:09:42 +0000 2013,10,321354183276113920
2,Facebook,Carlos Bolsonaro desmascara ex-BBB Jean Wyllys (PSOL-RJ) e Movimento LGBT. http://t.co/UcSFuzNz16 http://t.co/AbKTcKht2q,,False,Mon Apr 08 20:08:54 +0000 2013,34,321353983480451073
2,Twitter Web Client,Veja pq Bolsonaro foi o único deputado a votar CONTRA a PEC das Empregadas Domésticas. http://t.co/8ZNiQhcieu,,False,Mon Mar 25 18:30:18 +0000 2013,9,316255736785158144
